,Centers,Locations,emails,phones,programs
336,Makoonsag Intergenerational Children's Centre,"527 Selkirk Avenue
Winnipeg, Manitoba
R2W 2M6",makoonsagicci@shaw.ca,(204) 415-5328,"Infant, Nursery/Preschool"
337,Ma-Mow-We-Tak Mini Muks Daycare,"23 Beaver Crescent
Thompson, Manitoba
R8N 0R6",daycarecoordinator@mamowwetak.mb.ca,(204) 677-0335,"Infant, Nursery/Preschool"
338,Manidoo Gi Miini Gonaan/R.B. Russell Infant Centre Inc.,"364 Dufferin Avenue
Winnipeg, Manitoba
R2W 2Y3",cyoungmanidooed@shaw.ca,,Infant
339,Manitou Community Daycare,"516 Souris Avenue
Manitou, Manitoba
R0G 1G0",srichards.pvccc@outlook.com,(204) 242-3484,"Infant, Nursery/Preschool"
340,Maples Day Care Amber Trails,"1575 Templeton Avenue
Winnipeg, Manitoba
R2P 2T5",maplesdaycare.director@gmail.com,(204) 697-1828,"Infant, Nursery/Preschool, School Age"
341,Maples DayCare Inc.,"27 Anglia Avenue
Winnipeg, Manitoba
R2P 2R1",maplesdaycare.director@gmail.com,(204) 633-2508,"Infant, Nursery/Preschool"
342,Marigold Preschool Centre Inc.,"27 8th Street W
The Pas, Manitoba
R9A 1L2",marigoldpreschool@mymts.net,(204) 623-6006,"Nursery/Preschool, School Age"
343,Mary Kardash Child Care Centre Inc.,"111 Polson Avenue
Winnipeg, Manitoba
R2W 0M5",mkccc@mts.net,,"Nursery/Preschool, School Age"
344,McLeod Nursery Incorporated,"530 Mcleod Avenue
Winnipeg, Manitoba
R2K 0B5",mcleodnurseryschool@hotmail.com,,Nursery/Preschool
345,Meadows West Kids Kare Inc.,"166 Garton Avenue
Winnipeg, Manitoba
R2R 2R7",mwkk@mts.net,(204) 694-0253,"Infant, Nursery/Preschool, School Age"
346,Melita Early Learning Centre Inc.,"125 North Street
Melita, Manitoba
R0M 1L0",melitaelc@shmb.ca,,"Infant, Nursery/Preschool"
347,Melita Nursery Cooperative Inc.,"125 North Street
Melita, Manitoba
R0M 1L0",melitanursery@gmail.com,,Nursery/Preschool
348,Mennonite Brethren Children's Centre Inc.,"1315 Gateway Road
Winnipeg, Manitoba
R2G 1G5",mbcc1315@mymts.net,,Nursery/Preschool
349,MFRC Child Care Centre,"630 Wihuri Road
Winnipeg, Manitoba
R3J 3Y5",brigitte.peters@winnipegmfrc.ca,,"Infant, Nursery/Preschool, School Age"
350,Miami Children's Facility Inc.,"405 Oak Avenue
Miami, Manitoba
R0G 1H0",miamicf@hotmail.com,,"Infant, Nursery/Preschool"
351,Michif Children's Place Day Care,"525 Main Street S
Dauphin, Manitoba
R7N 1L3",mcp@mmf.mb.ca,,"Infant, Nursery/Preschool"
352,Mighty Minds Montessori,"Unit 8-2835 Pembina Highway
Winnipeg, Manitoba
R3T 4Z8",mighty.minds@outlook.com,,Nursery/Preschool
353,Mini Mustang Corral,"111 Wright Street
Minto, Manitoba
R0K 1M0",mintonurseryschool@wcgwave.ca,,"Infant, Nursery/Preschool"
354,Miniota Discoveries Learning Center Corporation,"304 Sarah Avenue
Miniota, Manitoba
R0M 1M0",miniotadlc@gmail.com,,"Infant, Nursery/Preschool"
355,Mini-Skool & Montessori Academy,"870 Scotland Avenue
Winnipeg, Manitoba
R3M 1X8",ab@kiddiekampus.ca,,"Infant, Nursery/Preschool, School Age"
356,Minnedosa Community Child Care Cooperative,"49 2nd Avenue NW
Minnedosa, Manitoba
R0J 1E0",minnedosachildcare@wcgwave.ca,,"Infant, Nursery/Preschool"
357,Minnedosa Nursery School/School-Age Program,"90 Armitage Avenue
Minnedosa, Manitoba
R0J 1E0",minnedosachildcare@wcgwave.ca,,"Nursery/Preschool, School Age"
358,Minto Nursery School/School Age Program,"319 South Railway Street W
Minto, Manitoba
R0K 1M0",minimustangcorral@mts.net,,"Nursery/Preschool, School Age"
359,Mission Gardens Play Centre Inc.,"95 Bournais Drive
Winnipeg, Manitoba
R2C 3Z2",mgpc@mymts.net,(204) 663-8053,Nursery/Preschool
360,Morden Community Child Care Centre,"5 Rampton Street
Morden, Manitoba
R6M 1V8",srichards.pvccc@outlook.com,(204) 822-6663,"Infant, Nursery/Preschool, School Age"
361,Morning Star Day Care Inc.,"73 11th Street
Birtle, Manitoba
R0M 0C0",mornstardaycare@gmail.com,,"Infant, Nursery/Preschool"
362,Morrow Early Learning & Child Development (Centre 24/7),"533 St. Anne's Road
Winnipeg, Manitoba
R2M 3E8",bonnieash@maccpf.ca,,"Infant, Nursery/Preschool"
363,Morrow Early Learning & Child Development (Dr. D. W. Penner School),"121 Hazelwood Crescent
Winnipeg, Manitoba
R2M 4E4",bonnieash@maccpf.ca,,"Nursery/Preschool, School Age"
364,Morrow Early Learning & Child Development (Glenwood School),"51 Blenheim Street
Winnipeg, Manitoba
R2M 0H9",bonnieash@maccpf.ca,,"Nursery/Preschool, School Age"
365,Morrow Early Learning & Child Development (Hastings School),"50 Hastings Boulevard
Winnipeg, Manitoba
R2M 2E3",bonnieash@maccpf.ca,,"Nursery/Preschool, School Age"
366,Morrow Early Learning & Child Development (Lavallee West),"505 St. Anne's Road
Winnipeg, Manitoba
R2M 3E5",bonnieash@maccpf.ca,,"Nursery/Preschool, School Age"
367,Morrow Early Learning & Child Development (Marie-Anne Gaboury School),"95 Pulberry Street
Winnipeg, Manitoba
R2M 3X5",bonnieash@maccpf.ca,,"Nursery/Preschool, School Age"
368,Morrow Early Learning & Child Development (Rene Deleurme Centre),"511 St. Anne's Road
Wpg, Manitoba
R2M 3E5",bonnieash@maccpf.ca,,"Infant, Nursery/Preschool"
369,Morrow Early Learning & Child Development (Salvation Army),"51 Morrow Avenue
Winnipeg, Manitoba
R2M 1A5",bonnieash@maccpf.ca,,"Infant, Nursery/Preschool"
370,Morrow Early Learning & Child Development (Victor H. L. Wyatt),"485 Meadowood Drive
Winnipeg, Manitoba
R2M 5C1",bonnieash@maccpf.ca,,"Nursery/Preschool, School Age"
371,Munroe Early Childhood Education Centre Inc.,"186-505 Chalmers Avenue
Wpg, Manitoba
R2L 0G4",munroeecec@shaw.ca,,"Nursery/Preschool, School Age"
372,Munroe Early Childhood Education Centre Inc. - School Age - George V,"255 Grey Street
Winnipeg, Manitoba
R2L 1V6",munroesa@shawbiz.ca,,"Nursery/Preschool, School Age"
373,New Beginnings Day Care Inc,"304 East Avenue
Ochre River, Manitoba
R0L 1K0",newbeginningsdaycare1@outlook.com,(204) 733-2592,"Infant, Nursery/Preschool, School Age"
374,Niigaanaki Day Care Centre Inc.,"104B-500 Balmoral Street
Winnipeg, Manitoba
R3B 2P8",niigaanaki@mymts.net,,Nursery/Preschool
375,North Kildonan Little Thinkers Inc.,"71-B Burnett Avenue
Winnipeg, Manitoba
R2G 1C2",,(204) 668-6163,Nursery/Preschool
376,"Northern Tykes Day Care, Inc.","131 Balsam Avenue
Snow Lake, Manitoba
R0B 1M0",northerntykes@hotmail.ca,,"Infant, Nursery/Preschool, School Age"
377,Northland Childcare Centre,"Unit A-139 Northlands Parkway Street E
Winkler, Manitoba
R6W 0E9",director@northland-cc.com,,"Infant, Nursery/Preschool"
378,Nor'West Early Learning & Child Care Centre - Infant Centre,"785 Keewatin Street
Winnipeg, Manitoba
R2X 3B9",tkrulicki@norwestcoop.ca,,Infant
379,Nor'West Early Learning and Child Care Centre,"105 Lucas Avenue
Winnipeg, Manitoba
R2R 2S8",tkrulicki@norwestcoop.ca,,"Infant, Nursery/Preschool, School Age"
380,Norwood French Immersion Preschool Inc.,"Rm 21-320 ave de la Cathedrale avenue
Winnipeg, Manitoba
R2H 0J4",nwfipreschool@gmail.com,,Nursery/Preschool
381,Norwood Nursery School and Day Care Inc.,"87 Walmer Street
Winnipeg, Manitoba
R2H 3H4",norwoodnursery@gmail.com,,"Nursery/Preschool, School Age"
382,Nova Montessori Preschool Inc.,"C-3311 Pembina Highway
Winnipeg, Manitoba
R3V 1T7",novamontessoripreschoolinc@gmail.com,,Nursery/Preschool
383,Nova Montessori Preschool Inc. Chevrier Blvd,"2050 Chevrier Boulevard
Winnipeg, Manitoba
R3Y 0T3",novamontessoripreschoolinc@gmail.com,,Nursery/Preschool
384,nova Montessori Preschool St.Mary's Road,"613 St. Mary's Road
Winnipeg, Manitoba
R2M 3L8",novamontessoripreschool@gmail.com,(204) 599-5669,Nursery/Preschool
385,O.K. Before and After School Child Care Centres Inc. - O.V. Jewitt,"66 Neville Street
Winnipeg, Manitoba
R2P 1W3",info@okbeforeandafter.com,(204) 632-5115,"Nursery/Preschool, School Age"
386,O.K. Before and After School Child Care Centres Inc.-Templeton,"Unit 1-1310 Templeton Avenue
Winnipeg, Manitoba
R2P 0G2",info@okbeforeandafter.com,(204) 632-5115,"Infant, Nursery/Preschool, School Age"
387,Oak Bluff Early Years,"155 Agri Park Road Road
Oak Bluff, Manitoba
R4G 0A5",obeydirector@live.com,,"Nursery/Preschool, School Age"
388,Oak Lake CARE Center Inc,"126 2nd Avenue E
Oak Lake, Manitoba
R0M 1P0",oaklakecarecentre@gmail.com,(204) 855-2712,"Infant, Nursery/Preschool, School Age"
389,Oak Street Nursery School Inc,"255 Oak Street
Winnipeg, Manitoba
R3M 3P7",,(204) 488-1133,Nursery/Preschool
390,Oakbank Kids Korner Co-operative Inc.,"644 Willow Avenue
Oakbank, Manitoba
R0E 1J0",obkk@mymts.net,,"Infant, Nursery/Preschool, School Age"
391,Oakville Tiny Tots Nursery School,"115 2nd Street
Oakville, Manitoba
R0H 0Y0",oakvilletinytots@gmail.com,,Nursery/Preschool
392,On The Move Inc. - JB Mitchell Site,"1720 John Brebeuf Place
Winnipeg, Manitoba
R3N 0M9",Otminc@mts.net,,"Nursery/Preschool, School Age"
393,On The Move Incorporated,"1777 Grant Avenue
Wpg, Manitoba
R3N 0M9",otminc@mts.net,,"Infant, Nursery/Preschool, School Age"
394,Pacific Junction Day Care Incorporated,"715 Cathcart Street
Winnipeg, Manitoba
R3R 3M7",pjdaycre@mymts.net,,"Infant, Nursery/Preschool"
395,Panda Bear Day Care Co-op Inc.,"53 Speers Road
Winnipeg, Manitoba
R2J 1M2",pbdc53@gmail.com,,"Infant, Nursery/Preschool"
396,Paradise Montessori Preschool (Autumnwood),"1061 Autumnwood Drive
Winnipeg, Manitoba
R2J 1C6",,(204) 487-2151,Nursery/Preschool
397,Paradise Montessori Preschool Inc.,"1341 Kenaston Boulevard
Winnipeg, Manitoba
R3P 2P2",lileenamendis@gmail.com,,Nursery/Preschool
398,Parkland Campus Kids Inc.,"520 Whitmore Avenue E
Dauphin, Manitoba
R7N 2V5",pckids@assiniboine.net,,"Infant, Nursery/Preschool"
399,Parkside Children's Centre,"416 2nd Avenue
McCreary, Manitoba
R0J 1B0",,(204) 835-2531,"Infant, Nursery/Preschool"
400,Parkside Children's Centre- Youth Building,"412 2nd Avenue
McCreary, Manitoba
R0J 1B0",,(204) 835-2531,Nursery/Preschool
401,Peek-a-Boo Infant Child Care,"3138 Portage Avenue
Winnipeg, Manitoba
R3K 0W4",peekabooicc@mymts.net,,"Infant, Nursery/Preschool, School Age"
402,Peter Pan Day Nursery Inc.,"165 Kerr Avenue
Dauphin, Manitoba
R7N 3M7",peterpan@wcgwave.ca,(204) 638-8263,"Infant, Nursery/Preschool"
403,Petits Choux Daycare Inc.,"411 3rd Street
Somerset, Manitoba
R0G 2L0",petitschoux@mts.net,(204) 744-2180,"Infant, Nursery/Preschool"
404,Pierson Early Learning Centre Inc.,"#1 School Road
Pierson, Manitoba
R0M 1S0",piersonelc@shmb.ca,(204) 483-6283,"Infant, Nursery/Preschool"
405,Pierson Preschool Inc.,"#1 School Road
Pierson, Manitoba
R0M 1S0",piersonpreschool@gmail.com,,Nursery/Preschool
406,Pine Ridge Childcare Centre,"A-1650 Roblin Boulevard
Winkler, Manitoba
R6W 1G9",director@northland-cc.com,,"Infant, Nursery/Preschool, School Age"
407,Pinkham Day Care Inc.,"765 Pacific Avenue
Wpg, Manitoba
R3E 1G1",dmilberg_@hotmail.com,,"Infant, Nursery/Preschool"
408,Play and Learn Day Nursery Inc.,"Lockport Jr. High School
Lockport, Manitoba
R1A 3H6",lockportplayandlearn@gmail.com,(204) 757-2123,Nursery/Preschool
409,Playstreet Childcare Inc,"112 Beach Road East
Teulon, Manitoba
R0C 3B0",playstreetcc@gmail.com,(204) 886-2203,"Infant, Nursery/Preschool"
410,Playtime Nursery Inc,"Whitemouth School #1 - 55 Second Street
Whitemouth, Manitoba
R0E 2G0",playtimenurseryschool@hotmail.com,,Nursery/Preschool
411,Poplar Avenue Kids Care Inc.,"170 Poplar Avenue
Winnipeg, Manitoba
R2L 2B6",pakcinc@gmail.com,,"Nursery/Preschool, School Age"
412,Portage Day Care Centre Inc.,"36 2nd Street SW
Portage La Prairie, Manitoba
R1N 2A1",portagedaycare@live.ca,,"Infant, Nursery/Preschool"
413,Portage Day Care School Age,"132 Duke Avenue Avenue W
Portage La Prairie, Manitoba
R1N 0S6",portagedaycare@live.ca,,"Infant, Nursery/Preschool, School Age"
414,Portage Ukrainian Nursery School Inc.,"15 Tupper Street S
Portage La Prairie, Manitoba
R1N 1W7",portageukrns@icloud.com,,Nursery/Preschool
415,Prairie Children's Centre Beaumont,"1325 Beaumont Street
Winnipeg, Manitoba
R3T 5E4",,(204) 475-7462,"Infant, Nursery/Preschool"
416,Prairie Children's Centres General Byng,"1250 Beaumont Street
Winnipeg, Manitoba
R3T 0L8",,(204) 475-7469,"Nursery/Preschool, School Age"
417,Prairie Children's Centres Pembina,"285 Pembina Highway
Winnipeg, Manitoba
R3L 2E1",admin@prairiecc.com,(204) 478-8123,"Infant, Nursery/Preschool"
418,Prairie Nature Children's Centre,"600 Hoka Street
Wpg, Manitoba
R2C 2V1",pncc@prairienaturecc.com,,"Nursery/Preschool, School Age"
419,Prairie Sky Child Care Centre,"35 PTH 248 Highway
Elie, Manitoba
R0H 0H0",prairieskychild@outlook.com,,"Infant, Nursery/Preschool"
420,Prairie Soul Children's Centre,"6003 Roblin Boulevard
Winnipeg, Manitoba
R3R 0G8",prairiesoul@mymts.net,,Nursery/Preschool
421,Prairie Sunrise Child Care,"10 Ryerson Avenue
Winnipeg, Manitoba
R3T 3P9",pscc@purplemonkeyccc.ca,,"Nursery/Preschool, School Age"
422,Preschool Enrichment Program,"2227 Brandon Avenue
Brandon, Manitoba
R7A 6C2",pep2227@outlook.com,(204) 727-6650,Nursery/Preschool
423,Provincial Employee Day Care / Osborne,"208 Osborne Street N
Wpg, Manitoba
R3C 1V4",admin@provempdaycare.com,(204) 945-8023,"Infant, Nursery/Preschool"
424,Provincial Employee Day Care / Portage,"1-800 Portage Avenue
Wpg, Manitoba
R3G 0N4",admin@provempdaycare.com,(204) 945-8023,"Infant, Nursery/Preschool"
425,R.B.Russell Infant Centre/Manidoo Gi Minni Gonaan (Lord Selkirk Park),"102-269 Dufferin Avenue
Winnipeg, Manitoba
R2W 2Y3",cyoungmanidooed@shaw.ca,(204) 504-6422,"Infant, Nursery/Preschool, School Age"
426,R.H.S. Child Care Inc.,"255 Oak Street
Winnipeg, Manitoba
R3M 3P7",rhscare@mymts.net,,"Infant, Nursery/Preschool, School Age"
427,R.R.C. Early Childhood Centre Inc.,"A101-2055 Notre Dame Avenue Avenue
Winnipeg, Manitoba
R3H 0J9",shenry37@rrc.ca,,"Infant, Nursery/Preschool"
428,Rady JCC Child Care Centre (Grosvenor),"1710 Grosvenor Avenue
Winnipeg, Manitoba
R3N 0H8",,(204) 615-8555,"Infant, Nursery/Preschool"
429,Rady JCC Childcare,"123 Doncaster Street
Winnipeg, Manitoba
R3N 2B2",,(204) 477-7414,"Infant, Nursery/Preschool, School Age"
430,Rainbow Day Nursery Inc. (Phase 1),"20 Island Shore Blvd.
Winnipeg, Manitoba
R3X 1N6",info@rainbowdaynursery.ca,,"Infant, Nursery/Preschool, School Age"
431,Rainbow Day Nursery Inc. (Phase 2),"445 Island Shore Boulevard
Winnipeg, Manitoba
R3X 2B4",info@rainbowdaynursery.ca,,"Infant, Nursery/Preschool, School Age"
432,Rainbow Day Nursery Inc. (phase 3-B),"100-40 Lakewood Boulevard
Winnipeg, Manitoba
R2J 2M7",info@rainbowdaynursery.ca,,"Nursery/Preschool, School Age"
433,Rainbow Day Nursery Inc. Phase 3,"180-50 Lakewood Boulevard
Winnipeg, Manitoba
R2J 2M7",info@rainbowdaynursery.ca,,"Infant, Nursery/Preschool"
434,Rainbow Day Nursery Inc. Phase 5,"315 Sage Creek Boulevard
Winnipeg, Manitoba
R3X 0G4",info@rainbowdaynursery.ca,,"Infant, Nursery/Preschool, School Age"
435,Rainbow Day Nursery Phase 4,"255 Vermillion Road
Winnipeg, Manitoba
R2J 3Z7",info@rainbowdaynursery.ca,,"Infant, Nursery/Preschool, School Age"
436,Rapid City Nursery School Inc.,"425 3rd Avenue
Rapid City, Manitoba
R0K 1W0",,(204) 826-2732,Nursery/Preschool
437,Razor Back BLAST Inc.,"200 McIvor Avenue
Winnipeg, Manitoba
R2G 0Z8",melanie@razorbackblasts.com,(204) 668-8648,"Nursery/Preschool, School Age"
438,Reston & Area Early Learning Center Inc.,"143 3rd Avenue
Reston, Manitoba
R0M 1X0",director@restonelc.org,,"Infant, Nursery/Preschool"
439,Reston Nursery School Coop Inc.,"Room 7-143 3rd Street
Reston, Manitoba
R0M 1X0",restonnsb@gmail.com,(204) 761-7651,Nursery/Preschool
440,Rhineland Child Care,"120 9th Street NW
Altona, Manitoba
R0G 0B1",kscdirector19@gmail.com,,"Infant, Nursery/Preschool"
441,Rhythm & Glue,"200 Queen Street
Virden, Manitoba
R0M 2C0",lansing@rfnow.com,(204) 851-0056,School Age
442,Richer Day Care Centre Inc.,"43 Dawson Road
Richer, Manitoba
R0E 1S0",richerdaycare@gmail.com,,"Nursery/Preschool, School Age"
443,Richmond Kings Nursery School Inc.,"933 Summerside Avenue
Winnipeg, Manitoba
R3T 4Y1",,(204) 275-6239,Nursery/Preschool
444,Richmond Montessori School,"85 Keslar Road
Winnipeg, Manitoba
R3T 6A5",,(204) 296-6550,Nursery/Preschool
445,Richmond Montessori School Inc,"Unit B -1450 Taylor Ave
Winnipeg, Manitoba
R3N 1Y6",richmondmontessoritaylor@gmail.com,(204) 296-6550,"Infant, Nursery/Preschool"
446,River Avenue Co-operative Day Nursery Inc.,"127 Bell Avenue
Winnipeg, Manitoba
R3L 0C4",radc@mymts.net,(204) 453-7487,"Infant, Nursery/Preschool"
447,River East French Exposure Nursery School Co-op Inc.,"131 Sanford Fleming Road
Winnipeg, Manitoba
R2C 5B8",michelline@refens.com,,Nursery/Preschool
448,River East Montessori School Inc.,"1115 Roch Street
Winnipeg, Manitoba
R2G 1R9",,(204) 306-5666,Nursery/Preschool
449,River East Scholar's Nursery School Incorporated,"323 Emerson Avenue
Winnipeg, Manitoba
R2G 1G3",admin@resns.org,(204) 663-6365,Nursery/Preschool
450,River Heights Child Care,"333 Wilton Street
Winnipeg, Manitoba
R3M 3B7",director@riverheightschildcare.com,,"Infant, Nursery/Preschool"
451,River Road Child Care,"440 River Road
Winnipeg, Manitoba
R2M 3Z9",rrcccoordinator@stamant.ca,(204) 258-7043,"Infant, Nursery/Preschool"
452,River West Park Kids Inc.,"30 Stack Street
Winnipeg, Manitoba
R3R 2C6",rwpkids@gmail.com,,"Nursery/Preschool, School Age"
453,Rivercrest Early Learning and Child Care,"4249 Main Street
West St. Paul, Manitoba
R4A 2A7",st.andrews.childcare.inc@gmail.com,,"Infant, Nursery/Preschool, School Age"
454,Riverdale Early Learning Centre Inc.,"350 Dominion Street
Rivers, Manitoba
R0K 1X0",riverdaleelc@gmail.com,,"Infant, Nursery/Preschool"
455,Rivers Kids Club Inc.,"347 Main Street
Rivers, Manitoba
R0K 1X0",riversnurseryschool@hotmail.ca,,Nursery/Preschool
456,Riverside Day Care,"60 Copper Road
Thompson, Manitoba
R8N 0V6",riversa@mymts.net,(204) 677-9007,"Nursery/Preschool, School Age"
457,Riverton Day Care Cooperative Inc.,"79 Olaf Street
Riverton, Manitoba
R0C 2R0",,(204) 378-2871,"Infant, Nursery/Preschool"
458,Riverview Early Learners Inc,"1105 Louise Avenue E
Brandon, Manitoba
R7A 1Y2",Riverviewearlylearners@gmail.com,,Nursery/Preschool
459,Riverview Montessori,"170 Ashland Avenue
Winnipeg, Manitoba
R3L 1L1",info@riverviewmontessori.ca,,Nursery/Preschool
460,Riverview-Ashland Child Care Centre Inc.,"112 Ashland Avenue
Winnipeg, Manitoba
R3L 1K6",riverash@mymts.net,,"Nursery/Preschool, School Age"
461,Roblin Children's Center Incorporated,"128 3rd Avenue N
Roblin, Manitoba
R0L 1P0",roblinchildrenscenter@hotmail.com,(204) 937-2080,"Infant, Nursery/Preschool"
462,Roblin Nursery and School Age Program,"330 King Street
Roblin, Manitoba
R0L 1P0",9374448@mymts.net,(204) 937-4448,"Nursery/Preschool, School Age"
463,Roblin Park Children's Programs,"640 Pepperloaf Crescent
Winnipeg, Manitoba
R3R 1E7",cp.rpcc@gmail.com,,"Nursery/Preschool, School Age"
464,Roblin Park Day Care Ltd.,"G &amp;amp; E -5905 Roblin Boulevard
Winnipeg, Manitoba
R3R 0G8",rpdc@mymts.net,(204) 895-8791,"Infant, Nursery/Preschool, School Age"
465,Rock Lake Funtown Inc.,"135 Lorne avenue
Pilot Mound, Manitoba
R0G 1P0",rlday@mymts.net,(204) 825-2580,"Infant, Nursery/Preschool"
466,Rockwood Kidsplace,"350 Rockwood Street
Winnipeg, Manitoba
R3M 3C5",richard.lilke@ymanitoba.ca,(204) 953-7318,"Nursery/Preschool, School Age"
467,Roots & Wings Early Learning Centre,"509 Grey Street
Winnipeg, Manitoba
R2K 2Z1",smdcdirectors@gmail.com,,"Nursery/Preschool, School Age"
468,Rossburn Little Cub's Den Early Learning Centre,"170 Victoria Avenue W
Rossburn, Manitoba
R0J 1V0",rossburnearlylearners@gmail.com,,"Infant, Nursery/Preschool"
469,Rossburn Nursery School and School Age,"108 Victoria Avenue
Rossburn, Manitoba
R0J 1V0",lcubs@mymts.net,(204) 859-2138,"Nursery/Preschool, School Age"
470,Royal Kids Inc.,"450 Laxdal Road
Winnipeg, Manitoba
R3R 0W4",royalkids@mymts.net,(204) 837-6955,"Nursery/Preschool, School Age"
471,Rupertsland Day Care Centre Corporation,"107-201 Princess Street
Winnipeg, Manitoba
R3B 3E9",Rupertsland1986@gmail.com,,"Infant, Nursery/Preschool, School Age"
472,Russell's Lots-A-Tots Inc.,"404 Russell Street E
Russell, Manitoba
R0J 1W0",lotsatot@mts.net,(204) 773-2681,"Infant, Nursery/Preschool, School Age"
473,Russell's Lots-A-Tots Inc. 2,"327 Lawrence Street E
Russell, Manitoba
R0J 1W0",,(204) 773-2682,"Infant, Nursery/Preschool"
474,S.P.L.A.S.H. Child Care Inc - Pulford Site,"109 Pulford Street
Winnipeg, Manitoba
R3L 1X8",splash@splashcares.ca,(204) 506-5601,"Infant, Nursery/Preschool"
475,S.P.L.A.S.H. Child Care Inc.,"233 McKenzie Street
Winnipeg, Manitoba
R2W 4Z2",splash@splashcares.ca,,"Nursery/Preschool, School Age"
476,Sadok Veselka Daycare Inc.,"520 Airlies Street
Winnipeg, Manitoba
R2X 2B2",,(204) 582-3129,Nursery/Preschool
477,Saint Boniface Garderie des Bambins Inc.,"240 ave Tache
Winnipeg, Manitoba
R2H 1Z7",garderiebambins@gmail.com,,"Infant, Nursery/Preschool"
478,Seedz' N Sprouts Early Learning Centre,"181 Mountain Avenue
Neepawa, Manitoba
R0J 1H0",seedznsproutselc@gmail.com,(204) 704-7333,"Infant, Nursery/Preschool"
479,Selkirk Day Care Inc.,"#1 Harley Row
Selkirk, Manitoba
R1A 2B2",selkdc@mymts.net,,Nursery/Preschool
480,Selkirk Friendship Centre Daycare,"207 Morris Avenue
Selkirk, Manitoba
R1A 1A9",sfcdcare@mymts.net,(204) 482-8656,Nursery/Preschool
481,Selkirk Friendship Centre Kids First Program/ HELP Program,"300 Sophia Street
Selkirk, Manitoba
R1A 2E2",sfcdcare@mts.net,(204) 482-8656,"Nursery/Preschool, School Age"
482,Selkirk Nursery School Inc.,"236 Clandeboye Avenue
Selkirk, Manitoba
R1A 0X1",,(204) 482-8977,Nursery/Preschool
483,Seven Oaks Child Day Care Centre Inc.,"2300 McPhillips Street
Winnipeg, Manitoba
R2V 3M3",socdcc@sogh.mb.ca,,"Infant, Nursery/Preschool"
484,Seven Oaks Sadok Inc.,"Room 2-25 Morrison Street
Winnipeg, Manitoba
R2V 3B3",cynthia_sadok@live.ca,(204) 995-7614,"Nursery/Preschool, School Age"
485,Shaughnessy Park Daycare Inc.,"1641 Manitoba Avenue
Winnipeg, Manitoba
R2X 0M3",shaughnessydaycare@shaw.ca,(204) 582-5342,"Infant, Nursery/Preschool, School Age"
486,Shepherd's Care Day Nursery Inc.,"1188 Jefferson Avenue
Winnipeg, Manitoba
R2P 0C7",scdn@mymts.net,,Nursery/Preschool
487,Shilo MFRC Daycare,"Bldg-T-114 Notre Dame Avenue
Shilo, Manitoba
R0K 2A0",smfrc.daycare@outlook.com,,"Infant, Nursery/Preschool, School Age"
488,Shilo MFRC Occasional Care,"Bldg-T-114 Notre Dame Avenue
Shilo, Manitoba
R0K 2A0",smfrc.daycare@outlook.com,,"Infant, Nursery/Preschool"
489,Shilo MFRC Pre-Kindergarten,"Bldg-T-114 Notre Dame Avenue
Shilo, Manitoba
R0K 2A0",Smfrc.daycare@outlook.com,,Nursery/Preschool
490,Shoal Lake Kid's Club Inc.(Shoal Lake Nursery School),"101 The Drive
Shoal Lake, Manitoba
R0J 1Z0",slkidsclub@gmail.com,(204) 759-3438,"Infant, Nursery/Preschool, School Age"
491,Short Stop Rec Club Inc.,"751 Crescent Road E
Portage La Prairie, Manitoba
R1N 0N3",shortstoprc@gmail.com,,"Nursery/Preschool, School Age"
492,Sigfusson Nurseries All Day Program,"110 Athlone Drive
Winnipeg, Manitoba
R3J 3K7",,(204) 885-6476,"Nursery/Preschool, School Age"
493,Sigfusson Nurseries Bannatyne In-School,"363 Thompson Drive
Winnipeg, Manitoba
R3J 3K7",,(204) 889-0435,"Nursery/Preschool, School Age"
494,Sister Macnamara Preschool and Infant Daycare Inc.,"460 Sargent Avenue
Winnipeg, Manitoba
R3B 1V5",smdaycare@shaw.ca,(204) 942-8043,"Infant, Nursery/Preschool"
495,Sky's The Limit Montessori School,"3202 Birds Hill Road
Winnipeg, Manitoba
R2E 1H2",skysthelimit@mts.net,,"Infant, Nursery/Preschool"
496,Small Endeavors Inc,"Centennial Street
Swan Lake, Manitoba
R0G 2S0",smallendeavors@live.ca,,"Infant, Nursery/Preschool"
497,Small Wonders Community Nursery School Inc.,"831 Thornhill Street
Morden, Manitoba
R6M 1J8",smallwondersns@gmail.com,(204) 362-3317,Nursery/Preschool
498,Solid Foundations Montessori School Inc.,"500-2476 Wenzel Street
East St. Paul, Manitoba
R2G 1J4",solidfoundationsms@gmail.com,,"Infant, Nursery/Preschool, School Age"
499,Souris Cooperative Day Care Center Inc. (School Age Program/Nursery School),"55 Lansdowne Street N
Souris, Manitoba
R0K 2C0",selc1972@outlook.com,,"Nursery/Preschool, School Age"
500,Souris Co-operative Day Care Centre Inc.,"82 First Street S
Souris, Manitoba
R0K 2C0",,(204) 483-2535,"Infant, Nursery/Preschool"
501,South Park Child Care Co-op Inc.,"194 Burland Avenue
Winnipeg, Manitoba
R2N 2T9",,(204) 254-0340,"Nursery/Preschool, School Age"
502,South Winnipeg Kinderschule Inc.,"1118 Grosvenor Avenue
Winnipeg, Manitoba
R3M 0N8",kinderschule.ca@gmail.com,,Nursery/Preschool
