Centers,Locations,emails,phones,licenses,hours,programs
New Generations Early Learning Centre,"22935 Fraser Hwy, Langley, V2Z 2T3",hwilson@mylcs.ca,604-534-2005,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
New Life Child Care Centre,"8868 - 128Th Street, Surrey, V3V 5M7",newlifesurreybc@gmail.com,604-590-6131,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Noah's Ark School,"11371 No.3 Rd, Richmond, V7A 1X3",adinanoahsark@gmail.com,778-990-3520,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Northern Baby Bear Daycare Inc.,"9304 86 St, Fort St. John, V1J 6L9",babybeardaycare6@hotmail.com,250-785-0257,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Nurture Early Childhood Education Centre,"1008 Russell Street, Victoria, V9A 3X9",manager@nurturevictoria.ca,250-812-0292,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Nurturing Education Through Security And Trust,"1927 Horizon Dr, West Kelowna, V1Z 3L3",karissahackman@gmail.com,250-469-1107,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool"
Nurturing Hearts Montessori Daycare - Newlands,"21025 48 Ave, Langley, V3A 3M3",nurturingheartsmontessori@gmail.com,604-533-1805,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Oes Childcare,"809 School Ave, Oliver, V0H 1T0",lwchildcareoliver@gmail.com,250-689-4099,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Organic Early Learning,"7535 Sixth St, Burnaby, V4N 3M2",calvin@organiclearning.ca,604-765-9982,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Osoyoos Child Care Centre,"6609 - 89Th St, Osoyoos, V0H 1V1",osoyooschildcare@telus.net,250-495-5020,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Our Childrens Centre,"4001 Seymour Place, Victoria, V8X 1W4",manager@ourchildrenscentre.com,250-475-6227,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Parasol (Aberdeen),"2090 Pacific Way, Kamloops, V1S 1K7",kanishkabalyan@yahoo.com,250-828-6603,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Parkcrest Children's Centre,"6040 Winch St, Burnaby, V5B 2L2",info@parkcrestchildcaresociety.ca,604-294-6224,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Parksville Kiddie Kollege,"205 Pym Rd, Parksville, V9P 1E7",heather@kiddiekollege.fun,250-248-6441,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Pemberton Children's Centre,"7396 Cottonwood St, Pemberton, V0N 2L0",info@pembykids.com,604-894-1625,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Peregrine House School,"20381 66 Ave, Langley, V2Y 1P3",nadin.peregrine@outlook.com,604-378-1840,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Petite Girafe Montessori Academy,"15977 28 Ave, Surrey, V3Z 0E5",sunnyside@petitegirafe.com,778-898-8359,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Pj Kids Club,"1150 22 St, West Vancouver, V7V 4C4",info@pjkidsclub.com,604-926-5972,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Play And Learn Childcare,"365 Cedar St, 100 Mile House, V0K 2E0",pullymark60@gmail.com,250-395-3837,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Playcare Early Childhood Centre,"1590 Okanagan Ave, Salmon Arm, V1E 4J4",melissaht@telus.net,250-832-3050,Licensed Group Child Care Facility,"Hours of operation: Weekdays, Statutory Holidays","Programs: Under 36 Months, 3 Years to Kindergarten"
Poco Village Early Learning Centre Ltd,"2879 Shaughnessy St, Port Coquitlam, V3C 3H1",poco.village.elc@gmail.com,604-551-9210,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Pomme D'api Preschool,"2190 E 44, Vancouver, V5P 1N2",registrar@pommedapi.org,604-877-1122,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Possibilities Preschool,"2242 Shannon Ridge Dr, Westbank, V4T 1S9",r.gilroy@shaw.ca,250-768-3841,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Powell River Christian School,"6960 Quesnel Street, Powell River, V8A 1J2",office@powellriverchristian.com,604-485-0006,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Power House Junior Kindergarten Ltd,"A - 7035 120Th St, Delta, V4E 2A9",powerhousejrk@gmail.com,604-417-0128,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Precious Smiles Academy Richmond,"9080 Francis Rd, Richmond, V6Y 1B1",psarichmond@gmail.com,236-515-9080,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Precious Smiles Academy Richmond,"9080 Francis Rd, Richmond, V6Y 1B1",psarichmond@gmail.com,236-515-9080,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Precious Steps Academy,"8391 Osgoode Dr, Richmond, V7A 4M3",precious.steps.academy@gmail.com,604-447-3901,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Precious Steps Academy - Seabay,"11411 Seabay Rd, Richmond, V7A 3H5",precious.steps.academy@gmail.com,604-447-3901,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Produckidvity Academy,"538 Leon Ave, Kelowna, V1Y 6J6",alex@produckidvity.com,778-214-7406,Licensed Group Child Care Facility,"Hours of operation: Weekdays, Weekends, Weekdays Before 6am, Weekdays After 7pm","Programs: Under 36 Months, 3 Years to Kindergarten"
Project Play Family Centre,"39319 Falcon Cres, Squamish, V8B 0V8",projectplaysquamish@gmail.com,604-213-4151,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Queensborough Kids,"920 Ewen Ave, New Westminster, V3M 5C8",kidschildcare@telus.net,604-524-0522,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Raccoon Den Child Care,"4125 Metchosin Road, Victoria, V9C 3Z6",,250-391-7824,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Rainbow Express Day Care,"433 Kingston Street, Victoria, V8V 1V8",rainbowexpress@telus.net,250-382-2314,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Raising Stars Preschool,"3404 24Th Street, Vernon, V1T 4N6",raisingstarpreschool@gmail.com,250-938-7264,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool"
Ready Montessori Daycare,"8060 Corless Pl, Richmond, V7C 4X4",readylearning@gmail.com,778-803-9191,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Red Apple Day Care Centre,"32354 Marshall Rd, Abbotsford, V2T 1A4",redapplechildcarecentre@gmail.com,778-669-0268,Licensed Group Child Care Facility,"Hours of operation: Weekdays, Weekends","Programs: Under 36 Months, 3 Years to Kindergarten"
Reggio Early Learning Centre,"3307 Wishart Rd, Victoria, V9C 1R2",reggioearlylearning@gmail.com,250-590-9244,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Reggio Kids,"3675 Alfred Ave, Smithers, V0J 2N0",erica.wadden@outlook.com,250-877-2897,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Renfrew Park Community Centre Preschool,"2929 East - 22Nd Avenue, Vancouver, V5M 2Y3",renfrew.preschoo@vancouver.ca,604-257-8388,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Revelstoke Community Centre,"600 Campbell Ave, Revelstoke, V0E 2S0",efederico@revelstoke.ca,250-837-9351,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
River City Early Learning Centre,"30-945 Columbia St W, Kamloops, V2C 1L5",rivercityearlylearningcentre@hotmail.com,778-257-4585,Licensed Group Child Care Facility,"Hours of operation: Weekdays, Weekdays After 7pm",Programs: Under 36 Months
River City Early Learning Centre (2),"40-945 Columbia St W, Kamloops, V2C 1L5",rivercityearlylearningcentre@hotmail.com,250-828-0699,Licensed Group Child Care Facility,"Hours of operation: Weekdays, Weekdays After 7pm",Programs: 3 Years to Kindergarten
Rjds Early Learning Centre,"8760 No. 5 Rd, Richmond, V6Y 2V4",ssolomon@rjds.ca,604-275-3393,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Rjds Early Learning Centre,"8760 No. 5 Rd, Richmond, V6Y 2V4",ssolomon@rjds.ca,604-275-3393,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Robert Ogilvie Preschool,"9907 86 St, Fort St. John, V1J 3G4",pessensa@prn.bc.ca,250-794-1955,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Robson Valley Support Society,"942 3Rd Avenue, McBride, V0J 2E0",jana@rvcsbc.org,778-764-0296,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Ross Bay Preschool Ltd,"1620 Earle Street, Victoria, V8S 1N5",rossbaypreschool@gmail.com,250-383-7445,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Royal Blue Heron Montessori Academy,"10111 Fourth Ave, Richmond, V7E 1V5",fritzdengler@shaw.ca,604-232-9001,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Rural Roots Early Learning Centre,"9179 West Ave, Wilmer, V0A 1K5",ruralrootssociety@gmail.com,250-427-5560,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
S.M.I.L.E.S Daycare,"4125 River Rd, Hazelton, V0J 1Y0",sharon.ness@gwes.ca,250-842-0216,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Saik'uz Daycare,"133 Joseph St, Vanderhoof, V0J 3A0",miranda.adams@saikuz.com,250-567-2122,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Salt Spring Early Learning Centre,"115 Drake Rd, Salt Spring Island, V8K 2K8",executivedirector@giels.org,250-537-2114,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, School Age: Kindergarten"
Sandpiper Preschool,"5955 17A Ave, Delta, V4L 1J7",sandpiperpreschool@hotmail.com,778-628-9935,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Seaparc Leisure Complex,"2168 Phillips Rd, Sooke, V9Z 1H4",erhermosa@crd.bc.ca,250-642-8008,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Second Steps Group Day Care,"1850 Warren Ave, Kimberley, V1A 1S1",ed@summitfamily.ca,250-489-3114,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Seeds And Roots Montessori,"1630 Edinburgh St, New Westminster, V3M 2W8",tasneem@seedsandrootsmontessori.ca,604-516-7777,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Sequoia Children's Learning Community,"12151 Shell Rd, Richmond, V7A 3W9",manager@sequoialearning.ca,604-275-6466,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Sequoia Children's Learning Community,"12151 Shell Rd, Richmond, V7A 3W9",manager@sequoialearning.ca,604-275-6466,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Serendipity Child Care Centre,"12952 Madeira Park Road, Madeira Park, V0N 2H0",managerserendipity@gmail.com,604-883-2316,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Sexsmith Community Preschool,"7410 Columbia St, Vancouver, V5X 3C1",preschoolsexsmith@gmail.com,604-324-6355,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Shaughnessy Heights Early Learning Centre,"1550 33Rd Ave W, Vancouver, V6M 1A7",info@shelcs.com,604-261-6711,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Shaughnessy Heights Out Of School Care,"1550 33Rd Ave W, Vancouver, V6M 1A7",info@shelcs.com,604-261-6711,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Shawnigan Christian Preschool,"1603 Wilmot Rd, Shawnigan Lake, V0R 2W0",preschool@shawniganalliance.org,250-743-4970,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Sicamous Preschool,"1121 Eagle Pass Way, Sicamous, V0E 2V0",sicamouspreschool@gmail.com,250-836-4573,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Singing Frog Aboriginal Head Start,"2150 McLean Drive, Vancouver, V5N 5X9",karen@acc-society.bc.ca,604-913-9128,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Small Steps Childcare Inc.,"22165 Dewdney Trunk Rd, Maple Ridge, V2X 3H7",smallstepschildcare2005@gmail.com,604-467-6014,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten"
Snuneymuxw Daycare,"668A Centre St, Nanaimo, V9R 4Z4",daycaremanager@snuneymuxw.ca,250-740-2348,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten"
"Somewhere To ""Grow"" Montessori Childcare Centre","6197 136Th St, Surrey, V3X 1H4",lcduffy@shaw.ca,778-578-0329,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
"Somewhere To ""Grow"" Montessori Childcare Centre","1320- 7Th Avenue, New Westminster, V3M 2K1",lcduffy@shaw.ca,778-578-0329,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Spare Time Fun Centre,"1350 67 Ave W, Vancouver, V6P 2T4",stfc@shawbiz.ca,604-261-6612,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Sparwood Treehouse Daycare Centre,"421 Pine Ave, Sparwood, V0B 2G0",sparwoodtreehouseoffice@gmail.com,250-425-4443,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Splats' In Child Care Center,"2730 Canyon Rd, Enderby, V0E 1V3",ecxecutivedirector@tsm7aksaltn.ca,250-838-6404,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Squamish Montessori School - Finch,"1001 Finch Drive, Squamish, V8B 0S9",michelle@smsed.ca,604-892-1180,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Squamish Waldorf Huckleberry Daycare,"38265 Westway Ave, Squamish, V8B 0Y5",gabriel@squamishwaldorf.com,604-898-3287,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Squamish Waldorf Sunflower Daycare,"38265 Westway Ave, Squamish, V8B 0A6",gabriel@cedarvalleyschool.com,604-898-3287,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
St. Alban's The Martyr Day Care,"7717 - 19Th Avenue, Burnaby, V3N 1E8",stalbansdaycare@shawbiz.ca,604-522-6228,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
St. Ann's Parish Daycare,"33333 Mayfair Ave, Abbotsford, V2S 1P4",parishoffice@stannsabbotsford.ca,604-852-5602,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
St. Dulwich Academy Inc.,"7960 River Road, Richmond, V6X 1X7",admin@stdulwich.com,236-866-7960,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
St. Dulwich Academy Inc.,"7960 River Road, Richmond, V6X 1X7",admin@stdulwich.com,236-866-7960,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
St. Francis De Sales Preschool,"6681 Arcola St, Burnaby, V5E 1H2",ahara@sfds.school,604-434-3311,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
St. Francis Of Assisi Preschool,"2025 Napier Street, Vancouver, V5L 2N8",preschool@sfaschool.ca,604-253-7311,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
St. Francis Xavier Montessori Child Care Centre-Daycare,"428 Great Northern Way, Vancouver, V5T 4S5",sfxchildcarecentre@gmail.com,604-254-2714,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
St. Francis Xavier Montessori Preschool,"428 Great Northern Way, Vancouver, V5T 4S5",sfxchildcarecentre@gmail.com,604-254-2714,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
St. James Day Care Center,"3214 West 10Th Avenue, Vancouver, V6K 2L2",teachers@stjamesdaycare.com,604-733-1821,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
St. James Early Learning Centre,"2700 28Th Ave, Vernon, V1T 1V7",accounts@ciskd.ca,250-542-4081,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
St. James Japanese Preschool,"3214 10 Ave W, Vancouver, V6K 2L2",info@jkidsvan.com,778-706-1800,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
St. Margaret's School,"1080 Lucas Ave, Victoria, V8X 3P7",calbu@stmrag.ca,250-479-7171,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Stardom Childcare,"11435 Bonson Rd, Pitt Meadows, V3Y 2S3",stardomchildcare@yahoo.ca,604-459-7827,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Stars For Life Childcare Education,"1068 Inglewood Avenue, West Vancouver, V7T 1Y3",admin@seedsforlifechildcare.ca,778-899-4686,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Stars For Life Childcare Education,"1068 Inglewood Ave, West Vancouver, V7G 2P9",admin@starsforlife.ca,778-899-4686,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Start Smart Childcare Centre,"22610 Dewdney Trunk Rd, Maple Ridge, V2X 3J9",directors@start-smart.ca,604-463-4439,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Stellers Jay Academy,"8280 Ross St, Vancouver, V5X 4C6",info@stellersjayacademy.com,604-325-1300,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool"
Stellers Jay Academy,"8280 Ross St, Vancouver, V5X 4C6",info@stellersjayacademy.com,604-325-1300,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool"
Stem Early Learning Centre,"3702 Trinity Valley Rd, Enderby, V0E 1V5",stem.earlylearningcentre@gmail.com,250-868-2971,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Stepping Stone Preschool,"7284 Cypress St, Vancouver, V6P 5M3",admin@steppingstonepreschool.org,604-765-4505,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Story Book Preschool,"1687 Strathcona Ave, Prince George, V2L 4E7",storybookpreschoolpg@gmail.com,250-961-6183,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Strawberry Patch Child Care Centre Inc.,"23422 47 Ave, Langley, V2Z 2S3",strawberrypatchchildcare@outlook.com,604-514-3150,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Strong Foundations Learning South Surrey,"301-306 15336 31St Ave, Surrey, V3Z 0X2",info@sflearning.ca,778-688-7861,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Sum-Sha-Thut-Lellum,"2155 Lazzar Rd, Sooke, V0S 1N0",administrator@tsoukenation.com,250-642-3957,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Summit Kids,"1801 30 St Ne, Salmon Arm, V1E 2Z5",samantha-wood@hotmail.com,250-803-2996,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Sunbeam Preschool & Childcare,"21277 - 56Th Avenue, Langley, V2Y 1M3",kpue@clachurch.com,778-777-2054,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool"
Sundance Playschool,"1280 Alpine Rd, Sun Peaks, V0E 5N0",kbeckett@sunpeaksresort.com,250-371-1227,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Sunflower Montessori,"21150 85Th Ave, Langley, V1M 2M4",angieboparai123@gmail.com,604-513-0070,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Sunny Bunny Preschool,"2090 Sunview Drive, Kelowna, V1Z 3P9",sallyannb33@gmail.com,250-769-2665,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Sunrise Childcare Centre,"8175 Lucerne Pl, Richmond, V6Y 2H5",vinawang2005@hotmail.com,604-274-6618,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Sunset Child Care Society,"8064 Buscombe Street, Vancouver, V5X 3S1",sunsetdaycarebc@gmail.com,604-328-3817,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Sunshine Early Childhood Centre,"2225 Sooke Road, Victoria, V9B 1W8",kmartorino@icloud.com,250-893-8327,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Sunshine Hills Montessori Child Care,"6415 Knight Drive, Delta, V4E 1S2",jsmith@dccnet.com,604-502-0691,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Surrey Christian Preschool And Out Of School Care,"8888 162 St, Rear, Surrey, V4N 3G1",ifritsch@surreychristian.com,604-581-7073,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Surrey Christian School Early Learning Centre,"18625 Fraser Hwy, Surrey, V3S 8E7",ifritsch@surreychristian.com,604-581-1033,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Surrey Christian School Early Learning Centre - Cloverdale,"5950 179 St, Surrey, V3S 4J9",gbuchanan@surreychristian.com,604-576-6313,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Sus Aboriginal Playschool,"324 Hoy St, Quesnel, V2J 1X3",ece@longname.ca,250-992-9160,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Sweetpeas Child Care,"581A 11Th Ave, Campbell River, V9W 4G5",sweetpeadaycare@gotmail.com,250-914-5536,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Swetexel Preschool & Daycare,"949 3Rd Ave Hope, Bldg 2, Hope, V0X 1L0",sandi@readrightsociety.com,604-206-9553,Licensed Group Child Care Facility,Hours of operation: Weekdays After 7pm,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool"
Switzmalph Child Care Centre,"4501 1St Ave Sw, Salmon Arm, V1E 2Y9",daycaremanager@nibdaycare.com,778-824-0376,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Symmetry Early Learning Center,"109-2526 Yale Crt, Abbotsford, V2S 8G9",summetryearlylearningcenter@hotmail.com,778-386-3173,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
T'it'q'et Daycare,"44 Retasket Drive, Lillooet, V0K 1V0",daycare@titqet.org,250-256-0033,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Taylin Child Care - Willoughby,"21150 80 Ave, Langley, V2Y 0H2",cwilliams@taylinchildcare.com,604-349-4066,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Terrace Sunflower Child Care Centre,"2803 Cramer St, Terrace, V8G 2X8",terrace_sunflower@hotmail.com,250-635-1512,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
The Beautiful Montessori Daycare,"104 - 3242 Westwood St, Port Coquitlam, V3C 3L8",bluebird5589@hotmail.com,604-464-2202,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
The Kids Academy,"2610 St Johns St, Port Moody, V3H 3B6",info@thekidsacademy.ca,604-353-3830,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
